	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa
GF00000001	CHIFNET14NJ214_006654-T1, CHIFNET14NJ214_001502-T1, CHIFNET14NJ214_006865-T1, CHIFNET14NJ214_006152-T1, CHIFNET14NJ214_006438-T1, CHIFNET14NJ214_008597-T1, CHIFNET14NJ214_000766-T1, CHIFNET14NJ214_003694-T1, CHIFNET14NJ214_003942-T1, CHIFNET14NJ214_013775-T1, CHIFNET14NJ214_010675-T1, CHIFNET14NJ214_011796-T1, CHIFNET14NJ214_012526-T1, CHIFNET14NJ214_005968-T1, CHIFNET14NJ214_001133-T1, CHIFNET14NJ214_006106-T1, CHIFNET14NJ214_006201-T1, CHIFNET14NJ214_000292-T1, CHIFNET14NJ214_001786-T1, CHIFNET14NJ214_010480-T1, CHIFNET14NJ214_005869-T1, CHIFNET14NJ214_003736-T1, CHIFNET14NJ214_004064-T1, CHIFNET14NJ214_004397-T1, CHIFNET14NJ214_014999-T1, CHIFNET14NJ214_015516-T1, CHIFNET14NJ214_005297-T1, CHIFNET14NJ214_007827-T1, CHIFNET14NJ214_014190-T1, CHIFNET14NJ214_005594-T1, CHIFNET14NJ214_015476-T1, CHIFNET14NJ214_009685-T1, CHIFNET14NJ214_015641-T1, CHIFNET14NJ214_009556-T1, CHIFNET14NJ214_012566-T1
GF00000002	CHIFNET14NJ214_002409-T1, CHIFNET14NJ214_012873-T1, CHIFNET14NJ214_002408-T1, CHIFNET14NJ214_001612-T1, CHIFNET14NJ214_001712-T1, CHIFNET14NJ214_015042-T1, CHIFNET14NJ214_002407-T1, CHIFNET14NJ214_001635-T1, CHIFNET14NJ214_008930-T1, CHIFNET14NJ214_012871-T1, CHIFNET14NJ214_001636-T1, CHIFNET14NJ214_005611-T1, CHIFNET14NJ214_000828-T1, CHIFNET14NJ214_005621-T1, CHIFNET14NJ214_004146-T1, CHIFNET14NJ214_008929-T1, CHIFNET14NJ214_000829-T1, CHIFNET14NJ214_000831-T1, CHIFNET14NJ214_005443-T1, CHIFNET14NJ214_001632-T1, CHIFNET14NJ214_000830-T1, CHIFNET14NJ214_004287-T1, CHIFNET14NJ214_000472-T1, CHIFNET14NJ214_001633-T1, CHIFNET14NJ214_012872-T1, CHIFNET14NJ214_002412-T1, CHIFNET14NJ214_002411-T1, CHIFNET14NJ214_013797-T1, CHIFNET14NJ214_002410-T1, CHIFNET14NJ214_013798-T1, CHIFNET14NJ214_001613-T1, CHIFNET14NJ214_001902-T1
GF00000003	CHIFNET14NJ214_003187-T1, CHIFNET14NJ214_012262-T1, CHIFNET14NJ214_002561-T1, CHIFNET14NJ214_000597-T1, CHIFNET14NJ214_000190-T1, CHIFNET14NJ214_013692-T1, CHIFNET14NJ214_007555-T1, CHIFNET14NJ214_005954-T1, CHIFNET14NJ214_009113-T1, CHIFNET14NJ214_003518-T1, CHIFNET14NJ214_009611-T1, CHIFNET14NJ214_005410-T1, CHIFNET14NJ214_003512-T1, CHIFNET14NJ214_005948-T1, CHIFNET14NJ214_001824-T1, CHIFNET14NJ214_010705-T1, CHIFNET14NJ214_009047-T1, CHIFNET14NJ214_006835-T1, CHIFNET14NJ214_009726-T1, CHIFNET14NJ214_005096-T1, CHIFNET14NJ214_005632-T1, CHIFNET14NJ214_015346-T1, CHIFNET14NJ214_001319-T1, CHIFNET14NJ214_006097-T1, CHIFNET14NJ214_010956-T1, CHIFNET14NJ214_010944-T1, CHIFNET14NJ214_014775-T1, CHIFNET14NJ214_014892-T1, CHIFNET14NJ214_012554-T1
GF00000004	CHIFNET14NJ214_009975-T1, CHIFNET14NJ214_005396-T1, CHIFNET14NJ214_012190-T1, CHIFNET14NJ214_003501-T1, CHIFNET14NJ214_012719-T1, CHIFNET14NJ214_010783-T1, CHIFNET14NJ214_001671-T1, CHIFNET14NJ214_002208-T1, CHIFNET14NJ214_000493-T1, CHIFNET14NJ214_011401-T1, CHIFNET14NJ214_014922-T1, CHIFNET14NJ214_001367-T1, CHIFNET14NJ214_009764-T1, CHIFNET14NJ214_007345-T1, CHIFNET14NJ214_015548-T1, CHIFNET14NJ214_009036-T1, CHIFNET14NJ214_000608-T1, CHIFNET14NJ214_010871-T1, CHIFNET14NJ214_014379-T1, CHIFNET14NJ214_010744-T1, CHIFNET14NJ214_003814-T1, CHIFNET14NJ214_015510-T1, CHIFNET14NJ214_014011-T1, CHIFNET14NJ214_010185-T1, CHIFNET14NJ214_011935-T1, CHIFNET14NJ214_014915-T1, CHIFNET14NJ214_010872-T1
GF00000005	CHIFNET14NJ214_003666-T1, CHIFNET14NJ214_003202-T1, CHIFNET14NJ214_008245-T1, CHIFNET14NJ214_003214-T1, CHIFNET14NJ214_006775-T1, CHIFNET14NJ214_003897-T1, CHIFNET14NJ214_002501-T1, CHIFNET14NJ214_003676-T1, CHIFNET14NJ214_003670-T1, CHIFNET14NJ214_012809-T1, CHIFNET14NJ214_003203-T1, CHIFNET14NJ214_008244-T1, CHIFNET14NJ214_002504-T1, CHIFNET14NJ214_003898-T1, CHIFNET14NJ214_003213-T1, CHIFNET14NJ214_012218-T1, CHIFNET14NJ214_004662-T1, CHIFNET14NJ214_002502-T1, CHIFNET14NJ214_008422-T1, CHIFNET14NJ214_000699-T1, CHIFNET14NJ214_013428-T1, CHIFNET14NJ214_003660-T1, CHIFNET14NJ214_002503-T1, CHIFNET14NJ214_006776-T1, CHIFNET14NJ214_012810-T1, CHIFNET14NJ214_012217-T1
GF00000006	CHIFNET14NJ214_004885-T1, CHIFNET14NJ214_005739-T1, CHIFNET14NJ214_007160-T1, CHIFNET14NJ214_000386-T1, CHIFNET14NJ214_005812-T1, CHIFNET14NJ214_009053-T1, CHIFNET14NJ214_008649-T1, CHIFNET14NJ214_007217-T1, CHIFNET14NJ214_009790-T1, CHIFNET14NJ214_005355-T1, CHIFNET14NJ214_002443-T1, CHIFNET14NJ214_014739-T1, CHIFNET14NJ214_002626-T1, CHIFNET14NJ214_013455-T1, CHIFNET14NJ214_014237-T1, CHIFNET14NJ214_014771-T1, CHIFNET14NJ214_007163-T1, CHIFNET14NJ214_000389-T1, CHIFNET14NJ214_012092-T1, CHIFNET14NJ214_015087-T1, CHIFNET14NJ214_013454-T1
GF00000007	CHIFNET14NJ214_014495-T1, CHIFNET14NJ214_000448-T1, CHIFNET14NJ214_007569-T1, CHIFNET14NJ214_012756-T1, CHIFNET14NJ214_005506-T1, CHIFNET14NJ214_009887-T1, CHIFNET14NJ214_001602-T1, CHIFNET14NJ214_011020-T1, CHIFNET14NJ214_014813-T1, CHIFNET14NJ214_000823-T1, CHIFNET14NJ214_004291-T1, CHIFNET14NJ214_004501-T1, CHIFNET14NJ214_004970-T1, CHIFNET14NJ214_014842-T1, CHIFNET14NJ214_014776-T1, CHIFNET14NJ214_015525-T1, CHIFNET14NJ214_013098-T1, CHIFNET14NJ214_015528-T1, CHIFNET14NJ214_015654-T1, CHIFNET14NJ214_015613-T1
GF00000008	CHIFNET14NJ214_009045-T1, CHIFNET14NJ214_009111-T1, CHIFNET14NJ214_003042-T1, CHIFNET14NJ214_005586-T1, CHIFNET14NJ214_009812-T1, CHIFNET14NJ214_008118-T1, CHIFNET14NJ214_013025-T1, CHIFNET14NJ214_008881-T1, CHIFNET14NJ214_008210-T1, CHIFNET14NJ214_007142-T1, CHIFNET14NJ214_006304-T1, CHIFNET14NJ214_001121-T1, CHIFNET14NJ214_008877-T1, CHIFNET14NJ214_006305-T1, CHIFNET14NJ214_001122-T1, CHIFNET14NJ214_002608-T1, CHIFNET14NJ214_009505-T1, CHIFNET14NJ214_013029-T1, CHIFNET14NJ214_009044-T1, CHIFNET14NJ214_011762-T1
GF00000009	CHIFNET14NJ214_007219-T1, CHIFNET14NJ214_011419-T1, CHIFNET14NJ214_009933-T1, CHIFNET14NJ214_001957-T1, CHIFNET14NJ214_014240-T1, CHIFNET14NJ214_007221-T1, CHIFNET14NJ214_014239-T1, CHIFNET14NJ214_007225-T1, CHIFNET14NJ214_007223-T1, CHIFNET14NJ214_007224-T1, CHIFNET14NJ214_001959-T1, CHIFNET14NJ214_001958-T1, CHIFNET14NJ214_007222-T1, CHIFNET14NJ214_015082-T1, CHIFNET14NJ214_013088-T1, CHIFNET14NJ214_007232-T1, CHIFNET14NJ214_011012-T1, CHIFNET14NJ214_011011-T1, CHIFNET14NJ214_007220-T1
GF00000010	CHIFNET14NJ214_004215-T1, CHIFNET14NJ214_002045-T1, CHIFNET14NJ214_000123-T1, CHIFNET14NJ214_002958-T1, CHIFNET14NJ214_009754-T1, CHIFNET14NJ214_002522-T1, CHIFNET14NJ214_009355-T1, CHIFNET14NJ214_013723-T1, CHIFNET14NJ214_005267-T1, CHIFNET14NJ214_000127-T1, CHIFNET14NJ214_001657-T1, CHIFNET14NJ214_012291-T1, CHIFNET14NJ214_005280-T1, CHIFNET14NJ214_004370-T1, CHIFNET14NJ214_004974-T1, CHIFNET14NJ214_013656-T1, CHIFNET14NJ214_014057-T1, CHIFNET14NJ214_004497-T1
