	Rhodotorula_mucilaginosa_DBVPG_3444.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000001	49	24	73	1.0	multi-copy
GF00000002	38	17	55	1.0	multi-copy
GF00000003	28	23	51	1.0	multi-copy
GF00000004	35	16	51	1.0	multi-copy
GF00000005	32	17	49	1.0	multi-copy
GF00000006	32	16	48	1.0	multi-copy
GF00000007	28	14	42	1.0	multi-copy
GF00000008	25	17	42	1.0	multi-copy
GF00000009	21	18	39	1.0	multi-copy
GF00000010	25	12	37	1.0	multi-copy
GF00000011	23	11	34	1.0	multi-copy
GF00000012	23	11	34	1.0	multi-copy
GF00000013	22	11	33	1.0	multi-copy
GF00000014	20	10	30	1.0	multi-copy
GF00000015	20	10	30	1.0	multi-copy
GF00000016	19	10	29	1.0	multi-copy
GF00000017	19	9	28	1.0	multi-copy
GF00000018	17	10	27	1.0	multi-copy
GF00000019	17	9	26	1.0	multi-copy
GF00000020	19	7	26	1.0	multi-copy
GF00000021	17	8	25	1.0	multi-copy
GF00000022	16	8	24	1.0	multi-copy
GF00000023	17	7	24	1.0	multi-copy
GF00000024	15	8	23	1.0	multi-copy
GF00000025	15	8	23	1.0	multi-copy
GF00000026	15	7	22	1.0	multi-copy
GF00000027	15	7	22	1.0	multi-copy
GF00000028	14	7	21	1.0	multi-copy
GF00000029	14	7	21	1.0	multi-copy
GF00000030	15	6	21	1.0	multi-copy
GF00000031	13	8	21	1.0	multi-copy
GF00000032	14	7	21	1.0	multi-copy
GF00000033	14	7	21	1.0	multi-copy
GF00000034	15	6	21	1.0	multi-copy
GF00000035	14	7	21	1.0	multi-copy
GF00000036	13	7	20	1.0	multi-copy
GF00000037	14	6	20	1.0	multi-copy
GF00000038	13	6	19	1.0	multi-copy
GF00000039	13	6	19	1.0	multi-copy
GF00000040	13	6	19	1.0	multi-copy
GF00000041	13	6	19	1.0	multi-copy
GF00000042	17	2	19	1.0	multi-copy
GF00000043	11	8	19	1.0	multi-copy
